"Date_YYYYMMDD","LOCAL_ID","LOCAL_NAME","SNODAS_SWE_UpstreamTotal_Volume_acft","Updated_Timestamp"
20030930,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031001,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031002,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031003,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031004,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031005,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,105.0,2017-06-02 12:10 America/Denver
20031006,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,159.0,2017-06-02 12:10 America/Denver
20031007,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,96.0,2017-06-02 12:10 America/Denver
20031008,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,27.0,2017-06-02 12:10 America/Denver
20031009,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,1.0,2017-06-02 12:10 America/Denver
20031010,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031011,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031012,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031013,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031014,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031015,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031016,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031017,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031018,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031019,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031020,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031021,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031022,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031023,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031024,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031025,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
20031026,3202,S. PLATTE RIVER ABV. CHEESEMAN RES,0.0,2017-06-02 12:10 America/Denver
