"Date_YYYYMMDD","LOCAL_ID","LOCAL_NAME","SNODAS_SWE_UpstreamTotal_Volume_acft","Updated_Timestamp"
20030930,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031001,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031002,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031003,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031004,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031005,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031006,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031007,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031008,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031009,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031010,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031011,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031012,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031013,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031014,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031015,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031016,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031017,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031018,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031019,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031020,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031021,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031022,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031023,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031024,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031025,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031026,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031027,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031028,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031029,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031030,555,"STINKING WATER CRK NEAR GRANT, NE",,2017-06-02 12:10 America/Denver
20031031,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031101,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031102,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031103,555,"STINKING WATER CRK NEAR GRANT, NE",257.0,2017-06-02 12:10 America/Denver
20031104,555,"STINKING WATER CRK NEAR GRANT, NE",1864.0,2017-06-02 12:10 America/Denver
20031105,555,"STINKING WATER CRK NEAR GRANT, NE",710.0,2017-06-02 12:10 America/Denver
20031106,555,"STINKING WATER CRK NEAR GRANT, NE",887.0,2017-06-02 12:10 America/Denver
20031107,555,"STINKING WATER CRK NEAR GRANT, NE",477.0,2017-06-02 12:10 America/Denver
20031108,555,"STINKING WATER CRK NEAR GRANT, NE",193.0,2017-06-02 12:10 America/Denver
20031109,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031110,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031111,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031112,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031113,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031114,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031115,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031116,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031117,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
20031118,555,"STINKING WATER CRK NEAR GRANT, NE",0.0,2017-06-02 12:10 America/Denver
