"Date_YYYYMMDD","LOCAL_ID","LOCAL_NAME","SNODAS_SWE_UpstreamTotal_Volume_acft","Updated_Timestamp"
20030930,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031001,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031002,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031003,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031004,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031005,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031006,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031007,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031008,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031009,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031010,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031011,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031012,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031013,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031014,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031015,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031016,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031017,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031018,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031019,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031020,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031021,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031022,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031023,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031024,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031025,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031026,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031027,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031028,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031029,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031030,559,BONNY CREEK NR BENKLEMAN NE,,2017-06-02 12:10 America/Denver
20031031,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031101,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031102,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031103,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031104,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031105,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031106,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031107,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031108,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031109,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031110,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031111,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031112,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031113,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031114,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031115,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031116,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031117,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031118,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031119,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031120,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031121,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031122,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031123,559,BONNY CREEK NR BENKLEMAN NE,755.0,2017-06-02 12:10 America/Denver
20031124,559,BONNY CREEK NR BENKLEMAN NE,409.0,2017-06-02 12:10 America/Denver
20031125,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031126,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031127,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031128,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031129,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031130,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031201,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031202,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031203,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031204,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031205,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031206,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031207,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031208,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031209,559,BONNY CREEK NR BENKLEMAN NE,755.0,2017-06-02 12:10 America/Denver
20031210,559,BONNY CREEK NR BENKLEMAN NE,1870.0,2017-06-02 12:10 America/Denver
20031211,559,BONNY CREEK NR BENKLEMAN NE,1715.0,2017-06-02 12:10 America/Denver
20031212,559,BONNY CREEK NR BENKLEMAN NE,1641.0,2017-06-02 12:10 America/Denver
20031213,559,BONNY CREEK NR BENKLEMAN NE,1667.0,2017-06-02 12:10 America/Denver
20031214,559,BONNY CREEK NR BENKLEMAN NE,311.0,2017-06-02 12:10 America/Denver
20031215,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031216,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031217,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031218,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031219,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031220,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031221,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031222,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031223,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031224,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031225,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031226,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031227,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031228,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031229,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031230,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20031231,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040101,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040102,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040103,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040104,559,BONNY CREEK NR BENKLEMAN NE,484.0,2017-06-02 12:10 America/Denver
20040105,559,BONNY CREEK NR BENKLEMAN NE,1331.0,2017-06-02 12:10 America/Denver
20040106,559,BONNY CREEK NR BENKLEMAN NE,994.0,2017-06-02 12:10 America/Denver
20040107,559,BONNY CREEK NR BENKLEMAN NE,880.0,2017-06-02 12:10 America/Denver
20040108,559,BONNY CREEK NR BENKLEMAN NE,782.0,2017-06-02 12:10 America/Denver
20040109,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040110,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040111,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040112,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040113,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040114,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040115,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040116,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040117,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040118,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040119,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040120,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040121,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040122,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040123,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040124,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040125,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040126,559,BONNY CREEK NR BENKLEMAN NE,378.0,2017-06-02 12:10 America/Denver
20040127,559,BONNY CREEK NR BENKLEMAN NE,355.0,2017-06-02 12:10 America/Denver
20040128,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040129,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040130,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040131,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040201,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040202,559,BONNY CREEK NR BENKLEMAN NE,378.0,2017-06-02 12:10 America/Denver
20040203,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040204,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040205,559,BONNY CREEK NR BENKLEMAN NE,1364.0,2017-06-02 12:10 America/Denver
20040206,559,BONNY CREEK NR BENKLEMAN NE,2997.0,2017-06-02 12:10 America/Denver
20040207,559,BONNY CREEK NR BENKLEMAN NE,2945.0,2017-06-02 12:10 America/Denver
20040208,559,BONNY CREEK NR BENKLEMAN NE,2800.0,2017-06-02 12:10 America/Denver
20040209,559,BONNY CREEK NR BENKLEMAN NE,2366.0,2017-06-02 12:10 America/Denver
20040210,559,BONNY CREEK NR BENKLEMAN NE,2105.0,2017-06-02 12:10 America/Denver
20040211,559,BONNY CREEK NR BENKLEMAN NE,1122.0,2017-06-02 12:10 America/Denver
20040212,559,BONNY CREEK NR BENKLEMAN NE,560.0,2017-06-02 12:10 America/Denver
20040213,559,BONNY CREEK NR BENKLEMAN NE,349.0,2017-06-02 12:10 America/Denver
20040214,559,BONNY CREEK NR BENKLEMAN NE,49.0,2017-06-02 12:10 America/Denver
20040215,559,BONNY CREEK NR BENKLEMAN NE,2.0,2017-06-02 12:10 America/Denver
20040216,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040217,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040218,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
20040219,559,BONNY CREEK NR BENKLEMAN NE,0.0,2017-06-02 12:10 America/Denver
