"Date_YYYYMMDD","LOCAL_ID","LOCAL_NAME","SNODAS_SWE_UpstreamTotal_Volume_acft","Updated_Timestamp"
20030930,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031001,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031002,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031003,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031004,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031005,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031006,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031007,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031008,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031009,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031010,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031011,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031012,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031013,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031014,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031015,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031016,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031017,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031018,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031019,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031020,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031021,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031022,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031023,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031024,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031025,3278,LODGEPOLE CR. AT RALTON NE,28.0,2017-06-02 12:10 America/Denver
20031026,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031027,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031028,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031029,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
20031030,3278,LODGEPOLE CR. AT RALTON NE,,2017-06-02 12:10 America/Denver
20031031,3278,LODGEPOLE CR. AT RALTON NE,0.0,2017-06-02 12:10 America/Denver
